   1819734
                    5.372491e+00   -3.046238e+00    9.448630e-02
                    5.782562e+00   -1.028011e+00   -5.291233e-02
                    6.808683e+00   -6.670733e-01   -1.812247e+00
                    6.942853e+00   -4.478651e-01    1.557134e+00
                    3.376940e+00    2.947973e-01   -4.157397e-02
                    2.940414e+00    2.861045e+00   -1.492884e-01
                    4.501327e+00    4.187633e+00   -2.551130e-01
                    5.499103e-01    3.486544e+00   -1.114938e-01
                   -6.784116e-01    1.179189e+00    3.023562e-02
                   -3.255998e+00    5.026671e-01    1.247219e-01
                   -5.115488e+00    2.256333e+00    1.322808e-01
                   -6.918287e+00    1.662959e+00    7.558904e-03
                   -4.680851e+00    4.085588e+00   -1.530678e-01
                   -3.877718e+00   -1.952087e+00    2.362157e-01
                   -1.999330e+00   -3.662289e+00    2.664514e-01
                   -2.613491e+00   -5.627604e+00    3.609377e-01
                    4.856596e-01   -3.290013e+00    1.946418e-01
                    1.029901e+00   -8.163616e-01    7.369931e-02
    1.540355e-02    7.331464e+00   -5.307013e+00   -9.686694e-01
    1.691052e-02    7.633266e+00   -5.005211e+00   -9.686694e-01
    1.845611e-02    7.889045e+00   -4.663530e+00   -9.686694e-01
    2.023064e-02    8.093595e+00   -4.288925e+00   -9.686694e-01
   -1.993596e-02    3.840281e+00   -5.412246e+00   -1.366100e+00
   -1.171065e-02    4.219407e+00   -5.618408e+00   -1.366100e+00
   -5.067044e-03    4.625560e+00   -5.764281e+00   -1.366100e+00
    2.117190e-04    5.049221e+00   -5.846445e+00   -1.366100e+00
    4.390249e-03    5.480459e+00   -5.862975e+00   -1.366100e+00
    7.704425e-03    5.909167e+00   -5.813483e+00   -1.366100e+00
    1.035248e-02    6.325295e+00   -5.699128e+00   -1.366100e+00
    1.250468e-02    6.719090e+00   -5.522593e+00   -1.366100e+00
    1.431668e-02    7.081322e+00   -5.288014e+00   -1.366100e+00
    1.594337e-02    7.403501e+00   -5.000889e+00   -1.366100e+00
    1.755457e-02    7.678074e+00   -4.667949e+00   -1.366100e+00
    1.935674e-02    7.898607e+00   -4.296998e+00   -1.366100e+00
   -2.292102e-02    3.615849e+00   -4.954461e+00   -1.736324e+00
   -1.535217e-02    3.953890e+00   -5.217569e+00   -1.736324e+00
   -8.558636e-03    4.330627e+00   -5.421449e+00   -1.736324e+00
   -2.853423e-03    4.735784e+00   -5.560540e+00   -1.736324e+00
    1.798328e-03    5.158308e+00   -5.631047e+00   -1.736324e+00
    5.544268e-03    5.586675e+00   -5.631047e+00   -1.736324e+00
    8.553404e-03    6.009199e+00   -5.560540e+00   -1.736324e+00
    1.098996e-02    6.414356e+00   -5.421449e+00   -1.736324e+00
    1.301211e-02    6.791093e+00   -5.217569e+00   -1.736324e+00
    1.478039e-02    7.129134e+00   -4.954461e+00   -1.736324e+00
    1.647240e-02    7.419259e+00   -4.639302e+00   -1.736324e+00
    1.830778e-02    7.653553e+00   -4.280687e+00   -1.736324e+00
   -1.810525e-02    3.657833e+00   -4.609357e+00   -2.072442e+00
   -1.264664e-02    3.974250e+00   -4.897809e+00   -2.072442e+00
   -7.036513e-03    4.338283e+00   -5.123209e+00   -2.072442e+00
   -1.967779e-03    4.737535e+00   -5.277880e+00   -2.072442e+00
    2.338699e-03    5.158409e+00   -5.356555e+00   -2.072442e+00
    5.889263e-03    5.586574e+00   -5.356555e+00   -2.072442e+00
    8.784143e-03    6.007448e+00   -5.277880e+00   -2.072442e+00
    1.116138e-02    6.406700e+00   -5.123209e+00   -2.072442e+00
    1.318040e-02    6.770733e+00   -4.897809e+00   -2.072442e+00
    1.502700e-02    7.087150e+00   -4.609357e+00   -2.072442e+00
    1.693768e-02    7.345177e+00   -4.267674e+00   -2.072442e+00
   -1.265801e-02    3.655744e+00   -4.079171e+00   -2.368195e+00
   -1.032896e-02    3.917930e+00   -4.424072e+00   -2.368195e+00
   -6.372056e-03    4.248131e+00   -4.704547e+00   -2.368195e+00
   -2.017141e-03    4.630905e+00   -4.907481e+00   -2.368195e+00
    2.054221e-03    5.048355e+00   -5.023385e+00   -2.368195e+00
    5.576586e-03    5.480961e+00   -5.046840e+00   -2.368195e+00
    8.520265e-03    5.908495e+00   -4.976750e+00   -2.368195e+00
    1.097880e-02    6.310967e+00   -4.816390e+00   -2.368195e+00
    1.312133e-02    6.669556e+00   -4.573261e+00   -2.368195e+00
    1.519361e-02    6.967496e+00   -4.258729e+00   -2.368195e+00
   -3.872871e-03    3.779154e+00   -3.473172e+00   -2.618073e+00
   -5.361341e-03    3.943945e+00   -3.871011e+00   -2.618073e+00
   -4.117783e-03    4.206088e+00   -4.212642e+00   -2.618073e+00
   -1.249392e-03    4.547719e+00   -4.474785e+00   -2.618073e+00
    2.164708e-03    4.945558e+00   -4.639576e+00   -2.618073e+00
    5.463684e-03    5.372491e+00   -4.695782e+00   -2.618073e+00
